entity_type,entity_value,id_articles_nite,score
PER,Jim,1,0.7992
PER,Grand Dad,1,0.9936
PER,Nunnelly,1,0.9996
PER,Charles Allen,1,0.9998
ORG,Chiefs,1,0.9983
ORG,Chiefs,1,0.9972
PER,Paul Booker,1,0.9999
ORG,Chiefs,1,0.9985
PER,Carl Clark,1,0.9999
ORG,Chiefs,1,0.9983
PER,Warfield,1,0.9995
PER,Ike Gardner,1,0.9998
ORG,Bears,1,0.998
ORG,Chiefs,1,0.9968
PER,Lloyd Greenfield,1,0.9998
ORG,Chiefs,1,0.9975
PER,Ollie Hubbard,1,0.9997
ORG,Chiefs,1,0.997
ORG,Chiefs,1,0.989
ORG,Bears,1,0.9964
PER,Jim Nunnelly,1,0.9996
ORG,Chiefs,1,0.9979
ORG,Lions,1,0.9953
ORG,Bears,1,0.9961
PER,Ed West,1,0.9998
ORG,Chiefs,1,0.998
ORG,Chicago Bears,1,0.9984
ORG,Kansas City Chiefs,1,0.9932
ORG,Kctv-5,1,0.8041
MISC,New Year,1,0.8709
MISC,Super Bowl,1,0.9959
ORG,Chiefs,1,0.9971
ORG,Chiefs,1,0.9975
ORG,Chiefs,1,0.9972
PER,Lloyd Greenfield,1,0.9998
ORG,Chiefs,1,0.9975
PER,Ed West,1,0.9998
ORG,Chiefs,1,0.9968
PER,Carl Clark,1,0.9999
PER,Eric Warfield,1,0.9998
PER,Cleaver,1,0.9994
PER,Booker,1,0.9997
PER,Allen,1,0.9998
ORG,Chiefs,1,0.9956
PER,Ike,1,0.9998
PER,Ike,1,0.9998
ORG,Chiefs,1,0.9978
ORG,Chiefs,1,0.9977
PER,Bubba Cleaver,1,0.9996
PER,Jim,2,0.9996
PER,Grand Dad,2,0.9901
PER,Nunnelly,2,0.9904
ORG,Oakland,2,0.9473
LOC,Arrowhead,2,0.9909
PER,Ike Gardner,2,0.9998
PER,Paul,2,0.9996
ORG,Oakland,2,0.9637
PER,Ike,2,0.9994
PER,Ike,2,0.9989
ORG,Seattle,2,0.7213
ORG,Oakland,2,0.8988
ORG,Chiefs,2,0.9979
ORG,Dallas,2,0.9716
ORG,Miami,2,0.9237
ORG,Tampa Bay,2,0.9582
ORG,Minnesota,2,0.8149
ORG,St. Louis,2,0.6963
MISC,National Football Conference,2,0.638
ORG,Tennessee,2,0.6633
LOC,Atlanta,2,0.9782
MISC,Super Bowl,2,0.9948
MISC,African American,2,0.9987
MISC,National Football Conference,2,0.9
PER,Dennis Green,2,0.9991
ORG,Minnesota,2,0.8995
PER,Tony Dungy,2,0.9994
ORG,Tampa Bay,2,0.9463
ORG,Ers,3,0.4976
PER,Jim,3,0.9993
PER,"Granddad"" Nunnelly",3,0.9894
ORG,Carolina Panthers,3,0.9983
ORG,Kansas City Chiefs,3,0.8419
ORG,Wdaf,3,0.9439
ORG,Chiefs,3,0.9913
ORG,Nfl,3,0.6667
PER,Lloyd Greenfield,3,0.9932
ORG,Chiefs,3,0.8712
PER,Santa,3,0.5177
PER,Derrick,3,0.9973
PER,Neil,3,0.9918
PER,Lord,3,0.671
MISC,Monday Nite,4,0.5477
PER,Jim,4,0.9997
PER,"Grand Dad"" Nunnelly",4,0.9673
ORG,San Diego Chargers,4,0.9987
ORG,Kansas City Chiefs,4,0.9954
ORG,Kctv-5,4,0.8918
PER,Ed West,4,0.9997
MISC,Night Football,4,0.7157
PER,Paul Booker,4,0.9996
ORG,Kansas City-Buffalo,4,0.7277
ORG,Chiefs,4,0.9989
PER,Marv Levy,4,0.9988
MISC,Super Bowl,4,0.9944
ORG,Buffalo Bills,4,0.9975
PER,Howard Cosell,4,0.9997
PER,Dandy Don Meredith,4,0.9988
PER,Frank Gifford,4,0.9995
PER,Cosell,4,0.9997
PER,Muhummad Ali,4,0.9996
PER,Booker,4,0.9992
MISC,African Americans,4,0.9988
PER,Charles Allen,4,0.9998
PER,Ed West,4,0.9998
MISC,Monday Nite Football,4,0.7045
PER,Greenfield,4,0.999
ORG,Naacp Life,4,0.9612
PER,Booker,4,0.9994
PER,Ed West,4,0.9997
PER,Bubba Cleaver,4,0.9991
PER,Ollie Hubbard,4,0.9994
PER,Carl Clark,4,0.9999
ORG,Riwers/Harvester'S,4,0.9843
PER,Paul Booker,4,0.9997
PER,Jim “Grand Dad,5,0.8629
PER,Nunnelly,5,0.9996
ORG,Baltimore Ravens,5,0.999
ORG,Kansas City Chiefs,5,0.9943
ORG,Kctv,5,0.9716
PER,Charles Allen,5,0.9998
PER,Paul Booker,5,0.9998
PER,Carl Clark,5,0.9998
PER,Bubba Cleaver,5,0.9997
PER,Ike Gardner,5,0.9998
ORG,Chiefs,5,0.998
ORG,Chiefs,5,0.9972
ORG,Chiefs,5,0.9971
ORG,Chiefs,5,0.997
ORG,Chiefs,5,0.9967
PER,Priest,5,0.5399
PER,Must,5,0.6425
PER,Jamal,5,0.9975
PER,Dante,5,0.9986
PER,Trent And Revenge Contain Ray,5,0.9954
PER,Priest,5,0.5813
PER,Run Warfield,5,0.9981
PER,Lloyd Greenfield,5,0.9997
PER,Ollie Hubbard,5,0.9997
PER,Jim Nunnelly,5,0.9997
PER,Ed West,5,0.9998
ORG,Chiefs,5,0.9974
ORG,Chiefs,5,0.9965
ORG,Chiefs,5,0.9969
ORG,Chiefs,5,0.9969
PER,Barber Dante,5,0.7359
ORG,Hall,5,0.3593
PER,Ollie Hubbard,5,0.9993
ORG,Coles,5,0.7365
PER,Ollie,5,0.9991
LOC,Kansas City,5,0.9975
PER,Bg Hub,5,0.9859
ORG,Lincoln University,5,0.9022
PER,Ollie,5,0.9991
MISC,Home,5,0.495
