source,target,co_occurrence_count
Carl Clark,Paul Booker,122
Carl Clark,Ed West,118
Carl Clark,Ike Gardner,117
Carl Clark,Charles Allen,116
Carl Clark,Jim Nunnelly,111
Carl Clark,Ollie Hubbard,110
Charles Allen,Paul Booker,108
Ollie Hubbard,Paul Booker,107
Ed West,Paul Booker,106
Carl Clark,Lloyd Greenfield,102
Ed West,Ollie Hubbard,101
Ike Gardner,Paul Booker,100
Ed West,Jim Nunnelly,100
Charles Allen,Ed West,99
Jim Nunnelly,Paul Booker,99
Ike Gardner,Jim Nunnelly,98
Charles Allen,Ike Gardner,95
Charles Allen,Ollie Hubbard,94
Ed West,Ike Gardner,93
Jim Nunnelly,Ollie Hubbard,92
Ike Gardner,Lloyd Greenfield,92
Charles Allen,Lloyd Greenfield,91
Lloyd Greenfield,Paul Booker,91
Charles Allen,Jim Nunnelly,89
Ike Gardner,Ollie Hubbard,89
Jim,Nunnelly,87
Ed West,Lloyd Greenfield,84
Grand Dad,Jim,81
Lloyd Greenfield,Ollie Hubbard,81
Grand Dad,Nunnelly,78
Jim Nunnelly,Lloyd Greenfield,77
Bubba Cleaver,Carl Clark,68
Bubba Cleaver,Paul Booker,68
Carl Clark,Nunnelly,68
Bubba Cleaver,Charles Allen,66
Bubba Cleaver,Lloyd Greenfield,64
Ike Gardner,Nunnelly,63
Charles Allen,Nunnelly,63
Ed West,Nunnelly,63
Nunnelly,Ollie Hubbard,62
Bubba Cleaver,Ike Gardner,62
Bubba Cleaver,Ed West,61
Nunnelly,Paul Booker,60
Bubba Cleaver,Ollie Hubbard,59
Lloyd Greenfield,Nunnelly,58
Bubba Cleaver,Jim Nunnelly,58
Ed West,Jim,55
Carl Clark,Jim,54
Jim Nunnelly,Nunnelly,53
Jim,Ollie Hubbard,52
Charles Allen,Jim,51
Ike Gardner,Jim,50
Jim,Paul Booker,49
Jim,Lloyd Greenfield,48
Bubba Cleaver,Nunnelly,46
Carl Clark,Grand Dad,46
Charles Allen,Grand Dad,43
Grand Dad,Ollie Hubbard,43
Ed West,Grand Dad,43
Ed West,Ike,43
Ike,Ike Gardner,43
Grand Dad,Jim Nunnelly,42
Grand Dad,Paul Booker,42
Jim,Jim Nunnelly,41
Grand Dad,Ike Gardner,40
Bubba Cleaver,Jim,40
Grand Dad,Lloyd Greenfield,39
"Grand Dad"" Nunnelly",Jim,38
Charles Allen,Ike,38
Ike,Jim,37
Carl Clark,Ike,37
Bubba Cleaver,Grand Dad,36
Booker,Charles Allen,34
Ike,Lloyd Greenfield,33
Ike,Nunnelly,32
Ike,Ollie Hubbard,32
Ike,Paul Booker,32
Booker,Ed West,31
Booker,Carl Clark,31
Booker,Ike,30
Booker,Nunnelly,29
Carl,Ike,29
Booker,Paul Booker,29
Carl,Carl Clark,28
Derrick Thomas,Jim Nunnelly,26
Booker,Ike Gardner,26
